transaction_id,bank_id,bank_name,customer_id,amount,timestamp,merchant_category,location
28,102,KCB Bank,C0362,30835.7,2025-02-04 11:09:01,Transport,New Tammyburgh
29,102,KCB Bank,C0417,34360.43,2025-02-04 11:12:58,Transport,Ericksonbury
30,103,Absa Bank,C0118,35337.69,2025-02-04 23:56:31,Education,Wangland
31,103,Absa Bank,C0179,11327.68,2025-02-04 17:42:42,Transport,West Karenmouth
32,103,Absa Bank,C0493,31454.35,2025-02-04 09:24:39,Utilities,Port Rachelchester
33,103,Absa Bank,C0314,17410.45,2025-02-04 06:27:10,Utilities,Simsville
34,103,Absa Bank,C0260,21775.25,2025-02-04 19:21:50,Transport,Matthewmouth
35,103,Absa Bank,C0480,37244.96,2025-02-04 14:55:55,Retail,East Lisa
36,103,Absa Bank,C0282,37971.22,2025-02-04 16:46:56,Health,South Sara
37,103,Absa Bank,C0096,48123.99,2025-02-04 08:36:13,Utilities,Mcmahonfurt
38,103,Absa Bank,C0309,4160.94,2025-02-04 22:35:49,Transport,Simonview
39,103,Absa Bank,C0307,19433.42,2025-02-04 14:37:38,Health,East Emilymouth
40,103,Absa Bank,C0303,4008.83,2025-02-04 09:13:51,Food,Port Davidview
41,103,Absa Bank,C0107,38585.62,2025-02-04 21:25:17,Retail,Juliabury
42,103,Absa Bank,C0075,7404.1,2025-02-04 07:46:11,Food,New Sandra
43,103,Absa Bank,C0062,27202.04,2025-02-04 20:30:18,Utilities,Whiteport
44,103,Absa Bank,C0424,24610.78,2025-02-04 21:02:11,Retail,Brownchester
45,103,Absa Bank,C0016,33376.47,2025-02-04 11:23:56,Health,Port Adamtown
46,103,Absa Bank,C0099,47626.57,2025-02-04 00:33:48,Transport,East Mindy
47,103,Absa Bank,C0472,23693.88,2025-02-04 06:10:38,Health,Lewisfort
48,103,Absa Bank,C0168,1372.46,2025-02-04 02:47:02,Health,Lake Ashley
49,104,Standard Bank,C0232,36933.29,2025-02-04 22:21:59,Health,South Melanie
50,104,Standard Bank,C0452,24279.16,2025-02-04 22:28:54,Health,Lambertside
51,104,Standard Bank,C0249,24995.76,2025-02-04 04:02:31,Education,Justinville
52,104,Standard Bank,C0040,1596.27,2025-02-04 07:17:47,Utilities,West Joshua
53,104,Standard Bank,C0258,31720.05,2025-02-04 13:42:49,Transport,South Anthonyhaven
54,104,Standard Bank,C0030,46663.88,2025-02-04 10:24:01,Utilities,East Mary
55,104,Standard Bank,C0206,9338.45,2025-02-04 19:05:02,Transport,New Gabrielport
56,104,Standard Bank,C0233,13716.44,2025-02-04 01:08:58,Utilities,New Jennifer
57,104,Standard Bank,C0406,49713.31,2025-02-04 18:07:29,Health,New Alisonborough
58,104,Standard Bank,C0351,28867.97,2025-02-04 16:25:41,Food,New Diana
59,104,Standard Bank,C0048,36973.3,2025-02-04 17:34:55,Food,North Zachary
60,104,Standard Bank,C0029,43365.39,2025-02-04 22:23:45,Retail,Melissamouth
61,104,Standard Bank,C0205,583.29,2025-02-04 00:03:58,Transport,South Travis
62,104,Standard Bank,C0132,33029.66,2025-02-04 07:03:50,Utilities,West Vanessaton
63,105,Access Bank,C0187,17298.0,2025-02-04 09:41:27,Health,Normaside
64,105,Access Bank,C0284,38974.46,2025-02-04 18:09:28,Health,Wilsonhaven
65,105,Access Bank,C0101,42733.28,2025-02-04 01:22:09,Education,West Raymondport
66,105,Access Bank,C0293,34935.1,2025-02-04 10:29:38,Education,East Tammy
67,105,Access Bank,C0194,33423.73,2025-02-04 12:17:21,Education,Calderonmouth
68,105,Access Bank,C0285,35071.35,2025-02-04 11:22:17,Retail,East Lauraview
69,105,Access Bank,C0271,41155.37,2025-02-04 08:06:52,Retail,Bradfort
70,105,Access Bank,C0468,42900.94,2025-02-04 17:55:27,Food,Michelleburgh
71,105,Access Bank,C0120,22346.09,2025-02-04 14:16:30,Retail,North Angelaberg
72,105,Access Bank,C0196,6734.63,2025-02-04 17:56:04,Food,South Eric
73,105,Access Bank,C0199,28127.15,2025-02-04 13:34:00,Retail,Scottfort
74,105,Access Bank,C0024,2576.03,2025-02-04 02:15:53,Retail,Cartermouth
75,105,Access Bank,C0449,41955.77,2025-02-04 03:24:39,Retail,Kevinshire
76,105,Access Bank,C0161,26575.65,2025-02-04 03:41:24,Retail,Dennishaven
77,105,Access Bank,C0103,6881.97,2025-02-04 07:03:32,Food,Caldwellland
78,105,Access Bank,C0008,31696.05,2025-02-04 21:00:15,Utilities,North Jennifer
79,105,Access Bank,C0483,49958.6,2025-02-04 11:38:59,Transport,North Tinashire
80,105,Access Bank,C0365,22397.96,2025-02-04 20:23:53,Retail,East Travis
81,106,Zenith Bank,C0451,29212.47,2025-02-04 04:17:29,Retail,Fostertown
82,106,Zenith Bank,C0280,38587.5,2025-02-04 20:52:42,Retail,Brandonshire
83,106,Zenith Bank,C0437,38614.58,2025-02-04 12:40:42,Food,Buchananburgh
84,106,Zenith Bank,C0011,13400.24,2025-02-04 04:03:00,Food,Davidsonton
85,106,Zenith Bank,C0156,38314.64,2025-02-04 18:16:05,Health,Tamaraville
86,106,Zenith Bank,C0054,6880.28,2025-02-04 10:59:05,Retail,Clarenceville
87,106,Zenith Bank,C0465,12709.77,2025-02-04 22:40:50,Transport,Phillipchester
88,106,Zenith Bank,C0137,32224.34,2025-02-04 16:31:01,Retail,New Sarah
89,106,Zenith Bank,C0179,5808.09,2025-02-04 19:12:53,Retail,West Ralphport
90,106,Zenith Bank,C0455,39564.52,2025-02-04 06:12:25,Transport,Michealside
91,106,Zenith Bank,C0244,22809.19,2025-02-04 18:38:07,Retail,North Sarahmouth
92,106,Zenith Bank,C0076,8233.92,2025-02-04 18:52:13,Utilities,East Charlesbury
93,106,Zenith Bank,C0335,38209.46,2025-02-04 18:11:24,Health,East Christopher
94,106,Zenith Bank,C0331,4239.07,2025-02-04 12:39:17,Food,East Renee
95,106,Zenith Bank,C0093,11055.64,2025-02-04 13:52:09,Retail,New Danielberg
96,106,Zenith Bank,C0072,10870.01,2025-02-04 07:12:39,Retail,New Feliciaburgh
97,107,First Bank,C0445,2389.1,2025-02-04 14:43:07,Retail,Watersberg
98,107,First Bank,C0017,4825.14,2025-02-04 10:54:52,Transport,North Charles
99,107,First Bank,C0140,23921.75,2025-02-04 22:39:40,Food,Lake John
100,107,First Bank,C0491,32813.59,2025-02-04 14:31:28,Retail,Christinaside
101,107,First Bank,C0011,26264.59,2025-02-04 22:36:12,Health,Karenburgh
102,107,First Bank,C0459,20825.38,2025-02-04 00:55:46,Education,New Sherry
103,107,First Bank,C0331,44960.85,2025-02-04 01:59:37,Food,Martinport
104,107,First Bank,C0297,29640.91,2025-02-04 11:34:49,Transport,East Leonardstad
105,107,First Bank,C0009,12371.16,2025-02-04 19:48:02,Retail,North Dominicberg
106,107,First Bank,C0132,1291.93,2025-02-04 06:16:48,Transport,North Ashley
107,107,First Bank,C0456,15853.26,2025-02-04 11:00:43,Food,Tammystad
108,108,Ecobank,C0210,35471.65,2025-02-04 10:44:02,Education,Erichaven
109,108,Ecobank,C0406,8602.71,2025-02-04 21:35:30,Education,Boothbury
110,108,Ecobank,C0090,3817.01,2025-02-04 17:03:08,Utilities,South Mariah
111,108,Ecobank,C0143,27887.28,2025-02-04 13:17:31,Retail,West Steveburgh
112,108,Ecobank,C0227,28377.22,2025-02-04 05:22:51,Utilities,West Lindaside
113,108,Ecobank,C0065,20071.11,2025-02-04 02:19:14,Food,North Jeffrey
114,108,Ecobank,C0099,24922.93,2025-02-04 05:41:00,Education,South Williamtown
115,108,Ecobank,C0068,12721.17,2025-02-04 07:40:02,Transport,New Denise
116,108,Ecobank,C0150,3776.53,2025-02-04 02:36:03,Utilities,Port Elizabethland
117,108,Ecobank,C0286,31513.23,2025-02-04 22:47:45,Utilities,Annastad
118,108,Ecobank,C0142,35229.45,2025-02-04 14:47:18,Food,East Jennifer
119,108,Ecobank,C0113,34136.57,2025-02-04 19:27:22,Utilities,Robertside
120,108,Ecobank,C0436,41364.44,2025-02-04 06:05:51,Health,South Toniland
121,108,Ecobank,C0285,30408.17,2025-02-04 07:49:56,Utilities,Port Paulafurt
122,108,Ecobank,C0308,48317.55,2025-02-04 20:58:25,Utilities,Port Joshuamouth
123,108,Ecobank,C0087,16294.47,2025-02-04 02:53:17,Education,South Ryanton
124,108,Ecobank,C0389,47920.91,2025-02-04 11:36:47,Food,New Christopher
125,108,Ecobank,C0414,26546.16,2025-02-04 10:22:09,Utilities,West Melissa
126,109,UBA,C0175,39343.1,2025-02-04 21:43:27,Transport,New Evan
127,109,UBA,C0445,23890.49,2025-02-04 15:11:57,Education,West Jameston
128,109,UBA,C0377,493.0,2025-02-04 23:49:37,Utilities,Kristenberg
129,109,UBA,C0310,29600.65,2025-02-04 03:21:42,Transport,Reedland
130,109,UBA,C0188,44575.47,2025-02-04 10:52:37,Transport,New Rhonda
131,109,UBA,C0380,8633.77,2025-02-04 04:33:32,Utilities,Vincentside
132,109,UBA,C0238,20544.16,2025-02-04 21:56:37,Retail,Port Troy
133,109,UBA,C0262,36855.61,2025-02-04 19:44:41,Health,South Julia
134,109,UBA,C0466,2635.44,2025-02-04 04:49:02,Retail,Wilkinsonmouth
135,109,UBA,C0235,41010.7,2025-02-04 22:15:36,Transport,Byrdfort
136,109,UBA,C0433,35579.32,2025-02-04 11:02:40,Transport,Port Kenneth
137,109,UBA,C0188,32959.71,2025-02-04 06:00:16,Utilities,North Andrew
138,109,UBA,C0246,2041.57,2025-02-04 14:44:24,Food,Port Angela
139,109,UBA,C0279,38414.01,2025-02-04 06:35:22,Health,Huangchester
140,109,UBA,C0420,26654.95,2025-02-04 22:16:01,Retail,Perezport
141,109,UBA,C0232,35189.21,2025-02-04 15:44:16,Health,Heatherville
142,110,Stanbic Bank,C0147,34569.25,2025-02-04 00:34:31,Education,South Nicole
143,110,Stanbic Bank,C0333,16004.48,2025-02-04 06:42:18,Retail,West Elizabethmouth
144,110,Stanbic Bank,C0413,17873.46,2025-02-04 10:38:32,Health,Kellymouth
145,110,Stanbic Bank,C0319,42704.01,2025-02-04 06:10:09,Transport,Woodsport
146,110,Stanbic Bank,C0156,19023.29,2025-02-04 11:04:05,Food,East Katherine
147,110,Stanbic Bank,C0323,44494.92,2025-02-04 10:02:00,Utilities,Wendychester
148,110,Stanbic Bank,C0195,42033.92,2025-02-04 07:19:46,Food,Vargasmouth
149,110,Stanbic Bank,C0006,1840.8,2025-02-04 05:13:17,Education,Lake Miranda
150,110,Stanbic Bank,C0475,36201.96,2025-02-04 10:58:42,Transport,Port Brian
151,110,Stanbic Bank,C0134,10054.87,2025-02-04 21:21:13,Education,West Corychester
152,110,Stanbic Bank,C0162,15304.42,2025-02-04 23:11:01,Health,South Stevenshire
153,110,Stanbic Bank,C0476,48220.24,2025-02-04 05:49:11,Utilities,Cannonshire
154,110,Stanbic Bank,C0380,19321.18,2025-02-04 00:17:16,Education,East Benjamin
155,110,Stanbic Bank,C0248,40069.2,2025-02-04 02:23:10,Health,Tatehaven
156,110,Stanbic Bank,C0186,31129.26,2025-02-04 09:42:55,Food,East Benjaminport
157,110,Stanbic Bank,C0154,9145.16,2025-02-04 21:02:32,Retail,Harmonfurt
158,110,Stanbic Bank,C0317,5573.58,2025-02-04 07:22:31,Transport,Lake Anthonyport
159,110,Stanbic Bank,C0464,6082.18,2025-02-04 02:33:38,Education,Gonzalezview
160,110,Stanbic Bank,C0315,8880.13,2025-02-04 15:54:39,Food,New James
161,110,Stanbic Bank,C0163,18474.92,2025-02-04 05:14:09,Education,Port Stephanieborough
162,101,Equity Bank,C0192,49283.37,2025-02-05 04:20:48,Food,Foleymouth
163,101,Equity Bank,C0005,26868.35,2025-02-05 14:09:55,Utilities,Gamblestad
164,101,Equity Bank,C0338,27798.67,2025-02-05 14:12:52,Food,Howardtown
165,101,Equity Bank,C0424,38108.25,2025-02-05 04:34:25,Food,Sarahmouth
166,101,Equity Bank,C0007,9259.22,2025-02-05 05:32:54,Food,South Danielfort
167,101,Equity Bank,C0166,40995.78,2025-02-05 06:57:15,Education,Nelsonchester
168,101,Equity Bank,C0087,42518.6,2025-02-05 20:51:26,Transport,Hughesbury
169,101,Equity Bank,C0176,26567.03,2025-02-05 21:20:53,Health,Tinafurt
170,101,Equity Bank,C0204,359.66,2025-02-05 22:45:09,Utilities,North Jessicafurt
171,101,Equity Bank,C0195,2656.71,2025-02-05 07:17:37,Food,Fowlerstad
172,101,Equity Bank,C0343,30869.35,2025-02-05 21:09:47,Education,Guerrabury
173,101,Equity Bank,C0161,28390.76,2025-02-05 06:34:29,Food,Swansonfurt
174,101,Equity Bank,C0412,18013.28,2025-02-05 22:05:48,Retail,Shepherdland
175,101,Equity Bank,C0064,23156.63,2025-02-05 09:58:53,Education,Davidberg
176,101,Equity Bank,C0301,44721.71,2025-02-05 07:46:55,Education,East Michael
177,101,Equity Bank,C0005,27525.03,2025-02-05 12:19:50,Transport,Scottside
178,101,Equity Bank,C0093,44935.6,2025-02-05 15:42:32,Utilities,Laraburgh
179,101,Equity Bank,C0278,22944.85,2025-02-05 18:08:47,Education,Cindytown
180,101,Equity Bank,C0119,39385.23,2025-02-05 16:50:10,Education,Carrillofort
181,101,Equity Bank,C0331,2885.85,2025-02-05 12:27:58,Transport,Cannonville
182,102,KCB Bank,C0416,708.28,2025-02-05 21:18:10,Utilities,Stonechester
183,102,KCB Bank,C0395,12213.98,2025-02-05 02:06:06,Retail,Port Tracichester
184,102,KCB Bank,C0301,9463.7,2025-02-05 15:35:02,Food,Oliverbury
185,102,KCB Bank,C0146,19292.92,2025-02-05 09:27:49,Education,Bethanymouth
186,102,KCB Bank,C0304,30321.34,2025-02-05 11:16:53,Education,East Howard
187,102,KCB Bank,C0058,505.07,2025-02-05 09:52:48,Utilities,Port Aimee
188,102,KCB Bank,C0344,16533.69,2025-02-05 09:22:39,Food,Lake Jerryhaven
189,102,KCB Bank,C0066,49715.68,2025-02-05 13:21:21,Health,South Yvonne
190,102,KCB Bank,C0316,46529.9,2025-02-05 10:47:28,Education,Maldonadoburgh
191,102,KCB Bank,C0129,30284.75,2025-02-05 08:50:37,Health,West Ashleyville
192,102,KCB Bank,C0485,28941.18,2025-02-05 18:30:31,Utilities,Aaronborough
193,102,KCB Bank,C0460,11671.16,2025-02-05 11:59:24,Utilities,South Kathy
194,102,KCB Bank,C0311,9063.07,2025-02-05 14:48:07,Education,South Colton
195,102,KCB Bank,C0032,37738.02,2025-02-05 20:02:33,Food,New Donnaside
196,102,KCB Bank,C0382,41582.34,2025-02-05 17:32:06,Food,Sarahfort
197,102,KCB Bank,C0307,11555.34,2025-02-05 22:35:55,Health,Rodriguezburgh
198,102,KCB Bank,C0342,44068.39,2025-02-05 07:16:38,Health,West Annshire
199,102,KCB Bank,C0353,3190.57,2025-02-05 00:46:56,Utilities,West Teresa
200,102,KCB Bank,C0457,33290.18,2025-02-05 18:44:42,Food,Danielchester
201,102,KCB Bank,C0014,23150.2,2025-02-05 00:52:35,Retail,Merrittville
202,103,Absa Bank,C0085,27599.33,2025-02-05 18:34:58,Transport,Lake James
203,103,Absa Bank,C0029,42441.31,2025-02-05 06:12:54,Utilities,West Ronald
204,103,Absa Bank,C0009,31556.13,2025-02-05 07:21:42,Transport,New Kenneth
205,103,Absa Bank,C0483,13842.05,2025-02-05 23:11:09,Education,Port Paulbury
206,103,Absa Bank,C0286,19560.08,2025-02-05 06:28:16,Health,Port Sydney
207,103,Absa Bank,C0049,33311.16,2025-02-05 14:35:48,Retail,Wilsonshire
208,103,Absa Bank,C0459,33588.93,2025-02-05 11:23:20,Health,Campbellshire
209,103,Absa Bank,C0026,39152.13,2025-02-05 02:35:43,Transport,Evansview
210,103,Absa Bank,C0455,7743.09,2025-02-05 15:16:08,Health,Sherriview
211,103,Absa Bank,C0434,37786.24,2025-02-05 14:48:34,Education,Jamesburgh
212,103,Absa Bank,C0410,572.88,2025-02-05 19:57:45,Food,East Emilyside
213,103,Absa Bank,C0351,6197.68,2025-02-05 06:10:10,Health,Lake Deanna
214,104,Standard Bank,C0005,29783.46,2025-02-05 18:06:01,Retail,Ronaldfurt
215,104,Standard Bank,C0244,35146.78,2025-02-05 19:27:41,Transport,Perryville
216,104,Standard Bank,C0320,36360.01,2025-02-05 20:31:45,Health,Port Richard
217,104,Standard Bank,C0015,43046.52,2025-02-05 02:47:38,Health,Carlastad
218,104,Standard Bank,C0284,47026.79,2025-02-05 08:38:20,Food,Garrisonfort
219,104,Standard Bank,C0314,38848.8,2025-02-05 08:29:37,Utilities,Port Tonyashire
220,104,Standard Bank,C0195,13999.73,2025-02-05 08:58:01,Food,North Kyleberg
221,104,Standard Bank,C0048,26835.71,2025-02-05 20:28:28,Transport,Piercestad
222,104,Standard Bank,C0497,2460.12,2025-02-05 19:30:56,Food,Vickitown
223,104,Standard Bank,C0182,36278.5,2025-02-05 02:51:36,Utilities,Andrewmouth
224,104,Standard Bank,C0233,49241.43,2025-02-05 09:58:10,Transport,Port Jessica
225,104,Standard Bank,C0004,30992.66,2025-02-05 10:29:46,Transport,South Mariaview
226,104,Standard Bank,C0075,5906.9,2025-02-05 01:38:17,Transport,Howardhaven
227,104,Standard Bank,C0436,18106.94,2025-02-05 19:38:06,Retail,North Elizabethfurt
228,104,Standard Bank,C0262,47433.89,2025-02-05 12:17:58,Transport,Riosville
229,105,Access Bank,C0008,30145.11,2025-02-05 23:19:39,Transport,Port Shawnchester
230,105,Access Bank,C0144,23004.5,2025-02-05 07:12:54,Health,Port Alicia
231,105,Access Bank,C0364,33569.36,2025-02-05 00:34:40,Retail,Stephanieport
232,105,Access Bank,C0062,42616.8,2025-02-05 23:19:21,Retail,Christinetown
233,105,Access Bank,C0391,4765.31,2025-02-05 18:17:55,Health,Campbellshire
234,105,Access Bank,C0281,30866.36,2025-02-05 00:40:00,Food,Johnmouth
235,105,Access Bank,C0287,32093.6,2025-02-05 03:32:33,Education,Stephanieview
236,105,Access Bank,C0470,1894.66,2025-02-05 16:26:36,Utilities,North David
237,105,Access Bank,C0175,4959.94,2025-02-05 23:26:14,Transport,Porterland
238,105,Access Bank,C0177,21135.78,2025-02-05 17:04:02,Transport,Lake Stacey
239,105,Access Bank,C0379,18932.15,2025-02-05 10:09:02,Retail,Lake Luke
240,105,Access Bank,C0391,47033.25,2025-02-05 07:27:20,Retail,West Janicefurt
241,105,Access Bank,C0035,22510.53,2025-02-05 09:05:56,Health,Watsonchester
242,105,Access Bank,C0341,33760.49,2025-02-05 06:52:33,Transport,South Caroline
243,105,Access Bank,C0230,31678.09,2025-02-05 23:46:30,Food,Figueroafurt
244,105,Access Bank,C0428,47171.09,2025-02-05 13:07:21,Retail,East Regina
245,105,Access Bank,C0409,32920.37,2025-02-05 17:22:01,Education,East Stephanie
246,105,Access Bank,C0163,27427.75,2025-02-05 23:52:45,Utilities,Ronaldstad
247,105,Access Bank,C0222,15868.36,2025-02-05 10:01:00,Transport,Watsonborough
248,105,Access Bank,C0497,12357.18,2025-02-05 19:56:12,Food,East Yolandahaven
249,106,Zenith Bank,C0449,31368.93,2025-02-05 10:27:16,Food,East Robinhaven
250,106,Zenith Bank,C0234,45890.82,2025-02-05 05:05:40,Utilities,Destinyshire
251,106,Zenith Bank,C0346,27201.06,2025-02-05 00:16:40,Utilities,Warrenchester
252,106,Zenith Bank,C0429,20113.19,2025-02-05 11:19:32,Utilities,New Derekborough
253,106,Zenith Bank,C0418,12340.01,2025-02-05 08:42:41,Health,Sabrinahaven
254,106,Zenith Bank,C0102,49292.15,2025-02-05 21:57:11,Food,South Danielview
255,106,Zenith Bank,C0442,5670.74,2025-02-05 13:06:38,Retail,West Amandaside
256,106,Zenith Bank,C0217,4197.32,2025-02-05 02:11:02,Transport,Emilymouth
257,106,Zenith Bank,C0433,48420.69,2025-02-05 18:11:08,Transport,Lake Susan
258,106,Zenith Bank,C0307,16786.7,2025-02-05 07:21:03,Utilities,Powersstad
259,106,Zenith Bank,C0350,11520.03,2025-02-05 04:29:22,Utilities,Port Joyce
260,106,Zenith Bank,C0238,46859.86,2025-02-05 02:31:47,Health,Davismouth
261,106,Zenith Bank,C0066,20025.02,2025-02-05 10:07:34,Education,Ashleystad
262,107,First Bank,C0475,4611.24,2025-02-05 10:12:54,Transport,Mitchellside
263,107,First Bank,C0426,20191.14,2025-02-05 09:26:16,Education,Port Williammouth
264,107,First Bank,C0260,6388.74,2025-02-05 20:25:00,Transport,New Mirandaville
265,107,First Bank,C0232,33616.88,2025-02-05 03:39:27,Retail,New Barbaraport
266,107,First Bank,C0027,28328.18,2025-02-05 16:09:12,Retail,Jonesberg
267,107,First Bank,C0391,44569.59,2025-02-05 05:11:07,Transport,Zacharybury
268,107,First Bank,C0446,29862.62,2025-02-05 15:14:15,Health,East Joshuafort
269,107,First Bank,C0057,25875.91,2025-02-05 19:29:27,Food,Lynnside
270,107,First Bank,C0038,22805.15,2025-02-05 19:15:42,Food,New Anthonytown
271,107,First Bank,C0443,22160.32,2025-02-05 02:01:59,Utilities,South Alexander
272,108,Ecobank,C0439,41834.96,2025-02-05 19:26:12,Food,South Corey
273,108,Ecobank,C0470,15097.73,2025-02-05 07:49:42,Food,Lyonschester
274,108,Ecobank,C0032,7128.9,2025-02-05 10:29:51,Transport,Rodriguezborough
275,108,Ecobank,C0210,44837.87,2025-02-05 14:04:57,Health,North Kristy
276,108,Ecobank,C0302,15223.71,2025-02-05 21:45:41,Transport,South Michelle
277,108,Ecobank,C0391,9092.46,2025-02-05 23:38:09,Food,South Tanya
278,108,Ecobank,C0149,35201.42,2025-02-05 13:32:37,Transport,Lake Crystaltown
279,108,Ecobank,C0007,24259.63,2025-02-05 07:36:24,Retail,Johnsonborough
280,108,Ecobank,C0236,38421.34,2025-02-05 00:49:29,Food,East Duanefurt
281,108,Ecobank,C0439,8943.22,2025-02-05 23:21:54,Health,Rodgersbury
282,108,Ecobank,C0313,28430.88,2025-02-05 00:24:13,Food,Hudsonberg
283,108,Ecobank,C0301,35779.58,2025-02-05 16:24:30,Utilities,Josephport
284,108,Ecobank,C0446,17771.17,2025-02-05 11:08:29,Education,East Katherine
285,108,Ecobank,C0029,26894.45,2025-02-05 22:31:02,Retail,Berryland
286,108,Ecobank,C0477,31644.42,2025-02-05 09:54:01,Education,West Jared
287,108,Ecobank,C0247,44910.27,2025-02-05 02:58:35,Health,Lisaburgh
288,108,Ecobank,C0391,11043.3,2025-02-05 19:13:48,Retail,South Coreyhaven
289,108,Ecobank,C0059,16585.53,2025-02-05 15:21:11,Utilities,Cynthiaberg
290,109,UBA,C0221,14051.39,2025-02-05 20:22:06,Transport,West Donnamouth
291,109,UBA,C0418,6513.03,2025-02-05 12:22:16,Transport,Amandaside
292,109,UBA,C0214,7880.28,2025-02-05 19:03:08,Food,Katherineland
293,109,UBA,C0150,4758.62,2025-02-05 20:26:02,Education,West Tammy
294,109,UBA,C0359,47913.93,2025-02-05 17:29:58,Retail,South Mark
295,109,UBA,C0025,24500.27,2025-02-05 04:18:22,Utilities,Lisahaven
296,109,UBA,C0461,7812.55,2025-02-05 09:02:07,Food,Barnesburgh
297,109,UBA,C0325,42112.69,2025-02-05 10:02:25,Retail,New Jeanette
298,109,UBA,C0177,32003.06,2025-02-05 03:41:56,Food,Kimberlyville
299,109,UBA,C0284,20519.63,2025-02-05 20:52:47,Food,Timothyland
300,109,UBA,C0009,39998.41,2025-02-05 18:05:02,Retail,Whiteheadmouth
301,109,UBA,C0195,24888.8,2025-02-05 08:12:05,Health,Ericburgh
302,109,UBA,C0496,18580.36,2025-02-05 06:15:47,Utilities,Port Anthony
303,110,Stanbic Bank,C0073,40994.47,2025-02-05 00:25:17,Education,Smithshire
304,110,Stanbic Bank,C0271,48871.76,2025-02-05 09:50:53,Utilities,South Kennethton
305,110,Stanbic Bank,C0296,17941.27,2025-02-05 06:53:26,Retail,Brookshaven
306,110,Stanbic Bank,C0375,15729.42,2025-02-05 03:35:02,Education,Jacobhaven
307,110,Stanbic Bank,C0245,24402.14,2025-02-05 17:33:50,Utilities,Gonzalezchester
308,110,Stanbic Bank,C0140,21276.25,2025-02-05 11:28:04,Food,Estradaport
309,110,Stanbic Bank,C0373,32346.6,2025-02-05 22:10:51,Food,Taylorburgh
310,110,Stanbic Bank,C0084,17440.58,2025-02-05 10:10:30,Food,Sheilatown
311,110,Stanbic Bank,C0428,25376.86,2025-02-05 17:45:00,Utilities,Lake Amandahaven
312,110,Stanbic Bank,C0356,4387.98,2025-02-05 09:41:46,Education,Lake Whitney
313,110,Stanbic Bank,C0437,36735.74,2025-02-05 17:06:15,Transport,New Nicolefurt
314,110,Stanbic Bank,C0064,29537.58,2025-02-05 20:46:53,Health,East Amyfurt
315,110,Stanbic Bank,C0392,44793.7,2025-02-05 23:34:05,Retail,North Samanthaton
316,110,Stanbic Bank,C0224,24905.95,2025-02-05 21:33:02,Utilities,Carsonton
317,110,Stanbic Bank,C0230,39204.81,2025-02-05 10:25:18,Transport,East Angela
318,110,Stanbic Bank,C0054,19917.39,2025-02-05 19:18:08,Retail,Port Benjamin
319,101,Equity Bank,C0257,9144.55,2025-02-06 11:15:28,Transport,East Allison
320,101,Equity Bank,C0470,13683.63,2025-02-06 16:14:33,Health,East Marietown
321,101,Equity Bank,C0312,4326.6,2025-02-06 11:44:40,Retail,New Kelly
